video_id,video_title,upload_date,view_count,like_count,comment_count
MHF5AojxdZE,Is it Permissible to take Pension after one Retired from a Government Job? – Dr Zakir Naik,2022-04-06,29777,1434,250
hCH4S21sCbA,Criteria for Hijaab in Islam - Dr Zakir Naik,2022-04-04,28358,1693,192
joo03XgRI6k,Why are Human Beings a Special Creation of Allah? - Dr Zakir Naik,2022-03-23,18909,1157,199
5GTL8XFNY4I,Rights of a Daughter in Islam - Dr Zakir Naik,2022-03-22,21177,1268,224
ia7ebyNTg9Y,LIVE - Ask Dr Zakir,2022-03-05,54953,3973,270
TssFjMnYtFU,"Aleena Asks Dr Zakir, &quot;Is it not Immoral and Vulgar for a Muslim to have more than One Wife?&quot;",2022-02-20,74958,2897,803
AP7JLTV7X-c,LIVE - Ask Dr Zakir,2022-02-19,56371,4417,296
u_xpGHktlJA,The Most Resourceful Book in the World after the Quran - Dr Zakir Naik,2022-02-18,23726,1570,267
nIXaqdQZ4UM,Why Only Muslims will go to Paradise and the Rest will go to Hell? - Dr Zakir Naik,2022-02-17,38634,2032,308
N3-qXQgzOpo,"Rahul Asks Dr Zakir, “Quran is Unscientific as it says Humans Created from Congealed Clot of Blood”",2022-02-15,90606,3134,447
F2vnesCNobk,Rashmi Singh Accepts Islam - Dr Zakir Naik,2022-02-14,47521,3566,432
FSk8Uz0J8VM,A Hindu Girl has a Live-in Relationship with a Muslim Boy and comes Close to Islam - Dr Zakir Naik,2022-02-11,41938,2506,406
YeiztKNxkMg,Why Prophet Muhammad (pbuh) did not do Miracles like the Previous Prophets? - Dr Zakir Naik,2022-02-10,39983,2418,460
tVUYHatunjw,Falsification Test of the Quran - Abu Lahab and his Wife will Burn in Hell - Dr Zakir Naik,2022-02-08,35543,1920,260
ksdxpBjQ5Hk,Will Allah Forgive the Non Muslims who do Great Service for Humanity and Orphanage and are also Good,2022-02-07,26731,1862,361
kud-45rj29Q,Logical  Scientific Reasons for the Prohibition of Pork - Dr Zakir Naik,2022-02-06,23951,1549,275
1c-P4WaLbD4,LIVE - Ask Dr Zakir,2022-02-05,79002,5487,361
KLaUjQ_kmDM,Is Beat Boxing Allowed in Islam? – Dr Zakir Naik,2022-02-03,56673,3392,399
2SkzG0gVqxI,Dr Zakir Naik&#39;s Views on &quot;The Message&quot; and other Islamic Movies - Dr Zakir Naik,2022-01-31,30473,1603,163
i_l51uuWP4o,Black Magic and Its Remedy - Dr Zakir Naik,2022-01-30,58017,2605,375
lyfAlfqHxIA,The Quran Mentions the Earth is Spherical in Shape 1400 years ago - Dr Zakir Naik,2022-01-26,33989,1989,515
fvkJgjLKdfE,How to Quit Listening to Music – Dr Zakir Naik,2022-01-25,38729,3210,536
