Unnamed: 0,Rank & Title,IMDb Rating,Your Rating,Unnamed: 4
,112.  L.A. Confidential  (1997),8.2,12345678910 NOT YET RELEASED  Seen,
,113.  Heat  (1995),8.2,12345678910 NOT YET RELEASED  Seen,
,114.  Metropolis  (1927),8.2,12345678910 NOT YET RELEASED  Seen,
,115.  Jodaeiye Nader az Simin  (2011),8.2,12345678910 NOT YET RELEASED  Seen,
,116.  Die Hard  (1988),8.2,12345678910 NOT YET RELEASED  Seen,
,117.  Incendies  (2010),8.2,12345678910 NOT YET RELEASED  Seen,
,118.  Snatch  (2000),8.2,12345678910 NOT YET RELEASED  Seen,
,119.  Hamilton  (2020),8.2,12345678910 NOT YET RELEASED  Seen,
,120.  Ladri di biciclette  (1948),8.2,12345678910 NOT YET RELEASED  Seen,
,121.  Indiana Jones and the Last Crusade  (1989),8.2,12345678910 NOT YET RELEASED  Seen,
,122.  1917  (2019),8.2,12345678910 NOT YET RELEASED  Seen,
,123.  Taare Zameen Par  (2007),8.2,12345678910 NOT YET RELEASED  Seen,
,124.  Der Untergang  (2004),8.2,12345678910 NOT YET RELEASED  Seen,
,125.  Per qualche dollaro in più  (1965),8.2,12345678910 NOT YET RELEASED  Seen,
,126.  Batman Begins  (2005),8.2,12345678910 NOT YET RELEASED  Seen,
,127.  Spider-Man: No Way Home  (2021),8.2,12345678910 NOT YET RELEASED  Seen,
,128.  Dangal  (2016),8.2,12345678910 NOT YET RELEASED  Seen,
,129.  The Kid  (1921),8.2,12345678910 NOT YET RELEASED  Seen,
,130.  Some Like It Hot  (1959),8.2,12345678910 NOT YET RELEASED  Seen,
,131.  All About Eve  (1950),8.2,12345678910 NOT YET RELEASED  Seen,
,132.  The Father  (2020),8.2,12345678910 NOT YET RELEASED  Seen,
,133.  Green Book  (2018),8.2,12345678910 NOT YET RELEASED  Seen,
,134.  The Wolf of Wall Street  (2013),8.2,12345678910 NOT YET RELEASED  Seen,
,135.  Judgment at Nuremberg  (1961),8.2,12345678910 NOT YET RELEASED  Seen,
,136.  Ran  (1985),8.2,12345678910 NOT YET RELEASED  Seen,
,137.  Unforgiven  (1992),8.2,12345678910 NOT YET RELEASED  Seen,
,138.  Casino  (1995),8.2,12345678910 NOT YET RELEASED  Seen,
,139.  Pan's Labyrinth  (2006),8.2,12345678910 NOT YET RELEASED  Seen,
,140.  There Will Be Blood  (2007),8.2,12345678910 NOT YET RELEASED  Seen,
,141.  The Sixth Sense  (1999),8.2,12345678910 NOT YET RELEASED  Seen,
,142.  A Beautiful Mind  (2001),8.2,12345678910 NOT YET RELEASED  Seen,
,143.  The Truman Show  (1998),8.2,12345678910 NOT YET RELEASED  Seen,
,144.  Monty Python and the Holy Grail  (1975),8.2,12345678910 NOT YET RELEASED  Seen,
,145.  Yôjinbô  (1961),8.2,12345678910 NOT YET RELEASED  Seen,
,146.  The Treasure of the Sierra Madre  (1948),8.1,12345678910 NOT YET RELEASED  Seen,
,147.  Shutter Island  (2010),8.1,12345678910 NOT YET RELEASED  Seen,
,148.  Rashômon  (1950),8.1,12345678910 NOT YET RELEASED  Seen,
,149.  Jurassic Park  (1993),8.1,12345678910 NOT YET RELEASED  Seen,
,150.  The Great Escape  (1963),8.1,12345678910 NOT YET RELEASED  Seen,
,151.  Everything Everywhere All at Once  (2022),8.1,12345678910 NOT YET RELEASED  Seen,
,152.  Kill Bill: Vol. 1  (2003),8.1,12345678910 NOT YET RELEASED  Seen,
,153.  No Country for Old Men  (2007),8.1,12345678910 NOT YET RELEASED  Seen,
,154.  Finding Nemo  (2003),8.1,12345678910 NOT YET RELEASED  Seen,
,155.  The Elephant Man  (1980),8.1,12345678910 NOT YET RELEASED  Seen,
,156.  Chinatown  (1974),8.1,12345678910 NOT YET RELEASED  Seen,
,157.  Raging Bull  (1980),8.1,12345678910 NOT YET RELEASED  Seen,
,158.  Gone with the Wind  (1939),8.1,12345678910 NOT YET RELEASED  Seen,
,159.  V for Vendetta  (2006),8.1,12345678910 NOT YET RELEASED  Seen,
,160.  The Thing  (1982),8.1,12345678910 NOT YET RELEASED  Seen,
,161.  Inside Out  (2015),8.1,12345678910 NOT YET RELEASED  Seen,
,"162.  Lock, Stock and Two Smoking Barrels  (1998)",8.1,12345678910 NOT YET RELEASED  Seen,
,163.  Dial M for Murder  (1954),8.1,12345678910 NOT YET RELEASED  Seen,
,164.  El secreto de sus ojos  (2009),8.1,12345678910 NOT YET RELEASED  Seen,
,165.  The Bridge on the River Kwai  (1957),8.1,12345678910 NOT YET RELEASED  Seen,
,166.  Hauru no ugoku shiro  (2004),8.1,12345678910 NOT YET RELEASED  Seen,
,"167.  Three Billboards Outside Ebbing, Missouri  (2017)",8.1,12345678910 NOT YET RELEASED  Seen,
,168.  Trainspotting  (1996),8.1,12345678910 NOT YET RELEASED  Seen,
,169.  Warrior  (2011),8.1,12345678910 NOT YET RELEASED  Seen,
,170.  Gran Torino  (2008),8.1,12345678910 NOT YET RELEASED  Seen,
,171.  Fargo  (1996),8.1,12345678910 NOT YET RELEASED  Seen,
,172.  Prisoners  (2013),8.1,12345678910 NOT YET RELEASED  Seen,
,173.  Tonari no Totoro  (1988),8.1,12345678910 NOT YET RELEASED  Seen,
,174.  Million Dollar Baby  (2004),8.1,12345678910 NOT YET RELEASED  Seen,
,175.  The Gold Rush  (1925),8.1,12345678910 NOT YET RELEASED  Seen,
,176.  Catch Me If You Can  (2002),8.1,12345678910 NOT YET RELEASED  Seen,
,177.  Blade Runner  (1982),8.1,12345678910 NOT YET RELEASED  Seen,
,178.  On the Waterfront  (1954),8.1,12345678910 NOT YET RELEASED  Seen,
,179.  The Third Man  (1949),8.1,12345678910 NOT YET RELEASED  Seen,
,180.  Bacheha-Ye aseman  (1997),8.1,12345678910 NOT YET RELEASED  Seen,
,181.  Ben-Hur  (1959),8.1,12345678910 NOT YET RELEASED  Seen,
,182.  The General  (1926),8.1,12345678910 NOT YET RELEASED  Seen,
,183.  Smultronstället  (1957),8.1,12345678910 NOT YET RELEASED  Seen,
,184.  12 Years a Slave  (2013),8.1,12345678910 NOT YET RELEASED  Seen,
,185.  Before Sunrise  (1995),8.1,12345678910 NOT YET RELEASED  Seen,
,186.  Gone Girl  (2014),8.1,12345678910 NOT YET RELEASED  Seen,
,187.  Harry Potter and the Deathly Hallows: Part 2  (2011),8.1,12345678910 NOT YET RELEASED  Seen,
,188.  The Deer Hunter  (1978),8.1,12345678910 NOT YET RELEASED  Seen,
,189.  In the Name of the Father  (1993),8.1,12345678910 NOT YET RELEASED  Seen,
,190.  The Grand Budapest Hotel  (2014),8.1,12345678910 NOT YET RELEASED  Seen,
,191.  Mr. Smith Goes to Washington  (1939),8.1,12345678910 NOT YET RELEASED  Seen,
,192.  Le salaire de la peur  (1953),8.1,12345678910 NOT YET RELEASED  Seen,
,193.  Barry Lyndon  (1975),8.1,12345678910 NOT YET RELEASED  Seen,
,194.  Sherlock Jr.  (1924),8.1,12345678910 NOT YET RELEASED  Seen,
,195.  Salinui chueok  (2003),8.1,12345678910 NOT YET RELEASED  Seen,
,196.  Klaus  (2019),8.1,12345678910 NOT YET RELEASED  Seen,
,197.  Hacksaw Ridge  (2016),8.1,12345678910 NOT YET RELEASED  Seen,
,198.  Room  (2015),8.1,12345678910 NOT YET RELEASED  Seen,
,199.  Det sjunde inseglet  (1957),8.1,12345678910 NOT YET RELEASED  Seen,
,200.  Relatos salvajes  (2014),8.1,12345678910 NOT YET RELEASED  Seen,
,201.  The Big Lebowski  (1998),8.1,12345678910 NOT YET RELEASED  Seen,
,202.  Mad Max: Fury Road  (2015),8.1,12345678910 NOT YET RELEASED  Seen,
,203.  How to Train Your Dragon  (2010),8.1,12345678910 NOT YET RELEASED  Seen,
,204.  Mary and Max.  (2009),8.1,12345678910 NOT YET RELEASED  Seen,
,"205.  Monsters, Inc.  (2001)",8.1,12345678910 NOT YET RELEASED  Seen,
,206.  Jaws  (1975),8.1,12345678910 NOT YET RELEASED  Seen,
,207.  La passion de Jeanne d'Arc  (1928),8.1,12345678910 NOT YET RELEASED  Seen,
,208.  Tôkyô monogatari  (1953),8.1,12345678910 NOT YET RELEASED  Seen,
,209.  Dead Poets Society  (1989),8.1,12345678910 NOT YET RELEASED  Seen,
,210.  Hotel Rwanda  (2004),8.1,12345678910 NOT YET RELEASED  Seen,
,211.  Pather Panchali  (1955),8.0,12345678910 NOT YET RELEASED  Seen,
,212.  Rocky  (1976),8.0,12345678910 NOT YET RELEASED  Seen,
,213.  Platoon  (1986),8.0,12345678910 NOT YET RELEASED  Seen,
,214.  Ford v Ferrari  (2019),8.0,12345678910 NOT YET RELEASED  Seen,
,215.  Stand by Me  (1986),8.0,12345678910 NOT YET RELEASED  Seen,
,216.  The Terminator  (1984),8.0,12345678910 NOT YET RELEASED  Seen,
,217.  Spotlight  (2015),8.0,12345678910 NOT YET RELEASED  Seen,
,218.  Rush  (2013),8.0,12345678910 NOT YET RELEASED  Seen,
,219.  Network  (1976),8.0,12345678910 NOT YET RELEASED  Seen,
,220.  Into the Wild  (2007),8.0,12345678910 NOT YET RELEASED  Seen,
,221.  Logan  (2017),8.0,12345678910 NOT YET RELEASED  Seen,
,222.  The Wizard of Oz  (1939),8.0,12345678910 NOT YET RELEASED  Seen,
,223.  Ratatouille  (2007),8.0,12345678910 NOT YET RELEASED  Seen,
,224.  Groundhog Day  (1993),8.0,12345678910 NOT YET RELEASED  Seen,
,225.  Before Sunset  (2004),8.0,12345678910 NOT YET RELEASED  Seen,
,226.  The Exorcist  (1973),8.0,12345678910 NOT YET RELEASED  Seen,
,227.  The Best Years of Our Lives  (1946),8.0,12345678910 NOT YET RELEASED  Seen,
,228.  The Incredibles  (2004),8.0,12345678910 NOT YET RELEASED  Seen,
,229.  To Be or Not to Be  (1942),8.0,12345678910 NOT YET RELEASED  Seen,
,230.  The Grapes of Wrath  (1940),8.0,12345678910 NOT YET RELEASED  Seen,
,231.  Rebecca  (1940),8.0,12345678910 NOT YET RELEASED  Seen,
,232.  La battaglia di Algeri  (1966),8.0,12345678910 NOT YET RELEASED  Seen,
,233.  Hachi: A Dog's Tale  (2009),8.0,12345678910 NOT YET RELEASED  Seen,
,234.  Cool Hand Luke  (1967),8.0,12345678910 NOT YET RELEASED  Seen,
,235.  Amores perros  (2000),8.0,12345678910 NOT YET RELEASED  Seen,
,236.  Pirates of the Caribbean: The Curse of the Black Pearl  (2003),8.0,12345678910 NOT YET RELEASED  Seen,
,237.  La haine  (1995),8.0,12345678910 NOT YET RELEASED  Seen,
,238.  Les quatre cents coups  (1959),8.0,12345678910 NOT YET RELEASED  Seen,
,239.  Persona  (1966),8.0,12345678910 NOT YET RELEASED  Seen,
,240.  Babam ve Oglum  (2005),8.0,12345678910 NOT YET RELEASED  Seen,
,241.  It Happened One Night  (1934),8.0,12345678910 NOT YET RELEASED  Seen,
,242.  Life of Brian  (1979),8.0,12345678910 NOT YET RELEASED  Seen,
,243.  The Sound of Music  (1965),8.0,12345678910 NOT YET RELEASED  Seen,
,244.  Dersu Uzala  (1975),8.0,12345678910 NOT YET RELEASED  Seen,
,245.  Ah-ga-ssi  (2016),8.0,12345678910 NOT YET RELEASED  Seen,
,246.  Aladdin  (1992),8.0,12345678910 NOT YET RELEASED  Seen,
,247.  Gandhi  (1982),8.0,12345678910 NOT YET RELEASED  Seen,
,248.  Jai Bhim  (2021),8.0,12345678910 NOT YET RELEASED  Seen,
,249.  The Help  (2011),8.0,12345678910 NOT YET RELEASED  Seen,
,250.  Beauty and the Beast  (1991),8.0,12345678910 NOT YET RELEASED  Seen,
